release_year,count
1900,421
1901,292
1902,245
1903,365
1904,299
1905,326
1906,337
1907,348
1908,492
1909,558
1910,872
1911,1095
1912,1546
1913,1574
1914,1624
1915,1689
1916,1682
1917,1545
1918,1361
1919,1383
1920,1471
1921,1421
1922,1349
1923,1283
1924,1352
1925,1509
1926,1678
1927,1698
1928,1697
1929,1744
1930,1916
1931,1836
1932,1870
1933,1871
1934,1942
1935,2037
1936,2038
1937,2127
1938,2111
1939,1990
1940,1926
1941,1903
1942,1947
1943,1804
1944,1604
1945,1608
1946,1641
1947,1713
1948,1900
1949,2125
1950,2224
1951,2330
1952,2301
1953,2459
1954,2554
1955,2564
1956,2725
1957,2884
1958,3019
1959,3041
1960,3244
1961,3381
1962,3447
1963,3434
1964,3776
1965,4041
1966,4160
1967,4582
1968,4880
1969,5068
1970,5183
1971,5040
1972,5301
1973,5209
1974,5299
1975,5224
1976,5313
1977,5066
1978,5501
1979,5643
1980,5616
1981,5473
1982,5750
1983,5742
1984,5883
1985,5936
1986,6101
1987,6505
1988,6582
1989,6917
1990,6855
1991,6906
1992,6812
1993,6724
1994,6610
1995,6800
1996,6815
1997,7327
1998,7435
1999,7935
2000,8140
2001,8824
2002,9652
2003,10721
2004,11764
2005,12820
2006,14220
2007,14725
2008,15519
2009,16488
2010,17104
2011,18574
2012,20258
2013,22727
2014,24290
2015,25593
2016,27051
2017,30313
2018,32590
2019,36028
2020,35957
2021,39263
2022,41187
2023,47249
2024,50264
2025,34357
